cardIdentifier,name,printings_identifier,printings_rarity,printings_set,pitch,typeText,subtypes,types
humble-entrance-blue,Humble Entrance (Blue),GEM092,Promo,GEM,3,Revered Action,NonAttack,Action
humble-red,Humble (Red),AKO009,Rare,Armory Deck Kayo,1,Generic Action - Attack,Attack,Action
humble-red,Humble (Red),OUT189,Rare,Outsiders,1,Generic Action - Attack,Attack,Action
humble-red,Humble (Red),UZU012,Rare,Uzuri Blitz Deck,1,Generic Action - Attack,Attack,Action
humble-yellow,Humble (Yellow),OUT190,Rare,Outsiders,2,Generic Action - Attack,Attack,Action
humble-blue,Humble (Blue),OUT191,Rare,Outsiders,3,Generic Action - Attack,Attack,Action
hummingbird-call-of-adventure,"Hummingbird, Call of Adventure",FAB094,Promo,Promos,,Bard Weapon - Lute (2H),TwoHanded; Lute,Weapon
hundred-winds-red,Hundred Winds (Red),EVR041,Rare,Everfest,1,Ninja Action - Attack,Attack,Action
hundred-winds-yellow,Hundred Winds (Yellow),EVR042,Rare,Everfest,2,Ninja Action - Attack,Attack,Action
hundred-winds-blue,Hundred Winds (Blue),EVR043,Rare,Everfest,3,Ninja Action - Attack,Attack,Action
hungering-demigon-red,Hungering Demigon (Red),DTD172,Rare,Dusk Till Dawn,1,Shadow Action - Attack,Attack,Action
hungering-demigon-red,Hungering Demigon (Red),LGS165,Promo,Promos,1,Shadow Action - Attack,Attack,Action
hungering-demigon-yellow,Hungering Demigon (Yellow),DTD173,Rare,Dusk Till Dawn,2,Shadow Action - Attack,Attack,Action
hungering-demigon-yellow,Hungering Demigon (Yellow),LGS166,Promo,Promos,2,Shadow Action - Attack,Attack,Action
hungering-demigon-blue,Hungering Demigon (Blue),DTD174,Rare,Dusk Till Dawn,3,Shadow Action - Attack,Attack,Action
hungering-demigon-blue,Hungering Demigon (Blue),LGS167,Promo,Promos,3,Shadow Action - Attack,Attack,Action
hungering-slaughterbeast-red,Hungering Slaughterbeast (Red),MON147,Common,Monarch,1,Shadow Brute Action - Attack,Attack,Action
hungering-slaughterbeast-red,Hungering Slaughterbeast (Red),LEV014,Common,Levia Blitz Deck,1,Shadow Brute Action - Attack,Attack,Action
hungering-slaughterbeast-yellow,Hungering Slaughterbeast (Yellow),MON148,Common,Monarch,2,Shadow Brute Action - Attack,Attack,Action
hungering-slaughterbeast-yellow,Hungering Slaughterbeast (Yellow),LEV017,Common,Levia Blitz Deck,2,Shadow Brute Action - Attack,Attack,Action
hungering-slaughterbeast-blue,Hungering Slaughterbeast (Blue),MON149,Common,Monarch,3,Shadow Brute Action - Attack,Attack,Action
hungry-for-more-red,Hungry for More (Red),SUP175,Super Rare,Super Slam,1,Guardian Instant - Aura,Aura,Instant
hungry-for-more-red,Hungry for More (Red),LGS438,Promo,Promos,1,Guardian Instant - Aura,Aura,Instant
hunt-a-killer-red,Hunt a Killer (Red),HNT131,Common,The Hunted,1,Warrior Action,NonAttack,Action
hunt-a-killer-yellow,Hunt a Killer (Yellow),HNT132,Common,The Hunted,2,Warrior Action,NonAttack,Action
hunt-a-killer-blue,Hunt a Killer (Blue),HNT133,Common,The Hunted,3,Warrior Action,NonAttack,Action
hunt-a-killer-blue,Hunt a Killer (Blue),FNG024,Common,Fang Blitz Deck,3,Warrior Action,NonAttack,Action
hunt-the-hunter-red,Hunt the Hunter (Red),HNT161,Common,The Hunted,1,Draconic Action - Attack,Attack,Action
hunt-the-hunter-red,Hunt the Hunter (Red),GEM014,Promo,GEM,1,Draconic Action - Attack,Attack,Action
hunt-to-the-ends-of-rathe-red,Hunt to the Ends of Rathe (Red),HNT152,Rare,The Hunted,1,Draconic Action - Attack,Attack,Action
hunt-to-the-ends-of-rathe-red,Hunt to the Ends of Rathe (Red),FNG007,Rare,Fang Blitz Deck,1,Draconic Action - Attack,Attack,Action
hunt-to-the-ends-of-rathe-red,Hunt to the Ends of Rathe (Red),CIN015,Rare,Cindra Blitz Deck,1,Draconic Action - Attack,Attack,Action
hunt-to-the-ends-of-rathe-red,Hunt to the Ends of Rathe (Red),GEM015,Promo,GEM,1,Draconic Action - Attack,Attack,Action
hunts-end-red,Hunt's End (Red),HNT101,Majestic,The Hunted,1,Draconic Warrior Attack Reaction,,AttackReaction
hunted-or-hunter-red,Hunted or Hunter (Red),HNT052,Common,The Hunted,1,Assassin Defense Reaction - Trap,Trap,DefenseReaction
hunted-or-hunter-red,Hunted or Hunter (Red),ARK017,Common,Arakni Blitz Deck ARK,1,Assassin Defense Reaction - Trap,Trap,DefenseReaction
hunter-or-hunted-blue,Hunter or Hunted? (Blue),SUP245,Majestic,Super Slam,3,Assassin Defense Reaction,,DefenseReaction
hunters-klaive,Hunter's Klaive,AAC002,Majestic,Armory Deck Arakni,,Assassin Weapon - Dagger (1H),OneHanded; Dagger,Weapon
hunters-klaive,Hunter's Klaive,HNT009,Majestic,The Hunted,,Assassin Weapon - Dagger (1H),OneHanded; Dagger,Weapon
hunters-klaive,Hunter's Klaive,GEM068,Promo,GEM,,Assassin Weapon - Dagger (1H),OneHanded; Dagger,Weapon
hurl-red,Hurl (Red),OUT148,Rare,Outsiders,1,Assassin / Ninja Action - Attack,Attack,Action
hurl-red,Hurl (Red),ARA007,Rare,Arakni Blitz Deck,1,Assassin / Ninja Action - Attack,Attack,Action
hurl-yellow,Hurl (Yellow),OUT149,Rare,Outsiders,2,Assassin / Ninja Action - Attack,Attack,Action
hurl-blue,Hurl (Blue),OUT150,Rare,Outsiders,3,Assassin / Ninja Action - Attack,Attack,Action
hurricane-technique-yellow,Hurricane Technique (Yellow),WTR084,Super Rare,Welcome To Rathe,2,Ninja Action - Attack,Attack,Action
hydraulic-press-red,Hydraulic Press (Red),EVO102,Rare,Bright Lights,1,Mechanologist Action - Attack,Attack,Action
hydraulic-press-yellow,Hydraulic Press (Yellow),EVO103,Rare,Bright Lights,2,Mechanologist Action - Attack,Attack,Action
hydraulic-press-blue,Hydraulic Press (Blue),EVO104,Rare,Bright Lights,3,Mechanologist Action - Attack,Attack,Action
hyper-driver,Hyper Driver,AMX028,Token,Armory Deck Maxx,,Mechanologist Token - Item,Item,Token
hyper-driver,Hyper Driver,EVO234,Token,Bright Lights,,Mechanologist Token - Item,Item,Token
hyper-driver,Hyper Driver,FAB176,Promo,Promos,,Mechanologist Token - Item,Item,Token
hyper-driver-red,Hyper Driver (Red),SDA024,Common,Dash Silver Age Deck,1,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-red,Hyper Driver (Red),AMX019,Common,Armory Deck Maxx,1,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-red,Hyper Driver (Red),EVO099,Common,Bright Lights,1,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-red,Hyper Driver (Red),DYN110,Common,Dynasty,1,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-red,Hyper Driver (Red),1HP218,Common,History Pack 1,1,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-red,Hyper Driver (Red),ARC036,Common,Arcane Rising,1,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-yellow,Hyper Driver (Yellow),AMX023,Common,Armory Deck Maxx,2,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-yellow,Hyper Driver (Yellow),DYN111,Common,Dynasty,2,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-blue,Hyper Driver (Blue),AMX027,Common,Armory Deck Maxx,3,Mechanologist Action - Item,Item; NonAttack,Action
hyper-driver-blue,Hyper Driver (Blue),DYN112,Common,Dynasty,3,Mechanologist Action - Item,Item; NonAttack,Action
hyper-inflation-red,Hyper Inflation (Red),SAR012,Common,Arakni Silver Age Deck,1,Chaos Action - Attack,Attack,Action
hyper-inflation-red,Hyper Inflation (Red),PEN282,Common,Compendium Of Rathe,1,Chaos Action - Attack,Attack,Action
hyper-inflation-red,Hyper Inflation (Red),GEM131,Promo,GEM,1,Chaos Action - Attack,Attack,Action
hyper-inflation-yellow,Hyper Inflation (Yellow),PEN283,Common,Compendium Of Rathe,2,Chaos Action - Attack,Attack,Action
hyper-inflation-blue,Hyper Inflation (Blue),PEN284,Common,Compendium Of Rathe,3,Chaos Action - Attack,Attack,Action
hyper-scrapper-blue,Hyper Scrapper (Blue),EVO100,Majestic,Bright Lights,3,Mechanologist Action - Attack,Attack,Action
hyper-x3,Hyper-X3,EVO011,Legendary,Bright Lights,,Mechanologist Equipment - Head,Head,Equipment
hyper-x3,Hyper-X3,FAB170,Promo,Promos,,Mechanologist Equipment - Head,Head,Equipment
hypothermia-blue,Hypothermia (Blue),UPR139,Majestic,Uprising,3,Ice Action - Affliction Aura,Affliction; Aura; NonAttack,Action
ice-bolt-red,Ice Bolt (Red),SIY016,Common,Iyslander Silver Age Deck,1,Ice Wizard Action,NonAttack,Action
ice-bolt-red,Ice Bolt (Red),UPR133,Common,Uprising,1,Ice Wizard Action,NonAttack,Action
ice-bolt-yellow,Ice Bolt (Yellow),UPR134,Common,Uprising,2,Ice Wizard Action,NonAttack,Action
ice-bolt-blue,Ice Bolt (Blue),SIY027,Common,Iyslander Silver Age Deck,3,Ice Wizard Action,NonAttack,Action
ice-bolt-blue,Ice Bolt (Blue),UPR135,Common,Uprising,3,Ice Wizard Action,NonAttack,Action
ice-eternal-blue,Ice Eternal (Blue),SIY028,Rare,Iyslander Silver Age Deck,3,Elemental Wizard Action,NonAttack,Action
ice-eternal-blue,Ice Eternal (Blue),UPR109,Rare,Uprising,3,Elemental Wizard Action,NonAttack,Action
ice-eternal-blue,Ice Eternal (Blue),LGS110,Promo,Promos,3,Elemental Wizard Action,NonAttack,Action
ice-quake-red,Ice Quake (Red),ELE151,Rare,Tales Of Aria,1,Ice Action,NonAttack,Action
ice-quake-yellow,Ice Quake (Yellow),ELE152,Rare,Tales Of Aria,2,Ice Action,NonAttack,Action
ice-quake-blue,Ice Quake (Blue),ELE153,Rare,Tales Of Aria,3,Ice Action,NonAttack,Action
ice-storm-red,Ice Storm (Red),ELE037,Majestic,Tales Of Aria,1,Elemental Ranger Action,NonAttack,Action
icebind-red,Icebind (Red),UPR119,Common,Uprising,1,Elemental Wizard Action,NonAttack,Action
icebind-yellow,Icebind (Yellow),UPR120,Common,Uprising,2,Elemental Wizard Action,NonAttack,Action
icebind-blue,Icebind (Blue),UPR121,Common,Uprising,3,Elemental Wizard Action,NonAttack,Action
icy-encounter-red,Icy Encounter (Red),AJV010,Common,Armory Deck Origins Jarl,1,Ice Action - Attack,Attack,Action
icy-encounter-red,Icy Encounter (Red),ELE157,Common,Tales Of Aria,1,Ice Action - Attack,Attack,Action
icy-encounter-yellow,Icy Encounter (Yellow),ELE158,Common,Tales Of Aria,2,Ice Action - Attack,Attack,Action
icy-encounter-blue,Icy Encounter (Blue),ELE159,Common,Tales Of Aria,3,Ice Action - Attack,Attack,Action
ignite-red,Ignite (Red),HNT058,Majestic,The Hunted,1,Draconic Ninja Action - Attack,Attack,Action
illuminate-red,Illuminate (Red),SBL015,Common,Boltyn Silver Age Deck,1,Light Action - Attack,Attack,Action
illuminate-red,Illuminate (Red),MON072,Common,Monarch,1,Light Action - Attack,Attack,Action
illuminate-red,Illuminate (Red),PSM021,Common,Prism Blitz Deck,1,Light Action - Attack,Attack,Action
illuminate-yellow,Illuminate (Yellow),MON073,Common,Monarch,2,Light Action - Attack,Attack,Action
illuminate-blue,Illuminate (Blue),MON074,Common,Monarch,3,Light Action - Attack,Attack,Action
illuminate-blue,Illuminate (Blue),PSM024,Common,Prism Blitz Deck,3,Light Action - Attack,Attack,Action
illuminate-blue,Illuminate (Blue),BOL027,Common,Boltyn Blitz Deck,3,Light Action - Attack,Attack,Action
immobilizing-shot-red,Immobilizing Shot (Red),DYN154,Majestic,Dynasty,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
impenetrable-belief-red,Impenetrable Belief (Red),MON075,Common,Monarch,1,Light Action - Attack,Attack,Action
impenetrable-belief-yellow,Impenetrable Belief (Yellow),MON076,Common,Monarch,2,Light Action - Attack,Attack,Action
impenetrable-belief-blue,Impenetrable Belief (Blue),MON077,Common,Monarch,3,Light Action - Attack,Attack,Action
imperial-edict-red,Imperial Edict (Red),DYN240,Majestic,Dynasty,1,Generic Action - Item,Item; NonAttack,Action
imperial-intent-red,Imperial Intent (Red),HNT109,Common,The Hunted,1,Draconic Warrior Attack Reaction,,AttackReaction
imperial-ledger-red,Imperial Ledger (Red),DYN241,Majestic,Dynasty,1,Generic Action - Item,Item; NonAttack,Action
imperial-seal-of-command-red,Imperial Seal of Command (Red),HNT228,Rare,The Hunted,1,Generic Action - Item,Item; NonAttack,Action
imperial-seal-of-command-red,Imperial Seal of Command (Red),FAB305,Promo,Promos,1,Generic Action - Item,Item; NonAttack,Action
imperial-warhorn-red,Imperial Warhorn (Red),DYN242,Majestic,Dynasty,1,Generic Action - Item,Item; NonAttack,Action
imposing-visage-blue,Imposing Visage (Blue),EVR022,Majestic,Everfest,3,Guardian Action,NonAttack,Action
impulsive-desire-red,Impulsive Desire (Red),MST121,Common,Part The Mistveil,1,Assassin Action - Attack,Attack,Action
impulsive-desire-red,Impulsive Desire (Red),NUU011,Common,Nuu Blitz Deck,1,Assassin Action - Attack,Attack,Action
impulsive-desire-yellow,Impulsive Desire (Yellow),MST122,Common,Part The Mistveil,2,Assassin Action - Attack,Attack,Action
impulsive-desire-blue,Impulsive Desire (Blue),MST123,Common,Part The Mistveil,3,Assassin Action - Attack,Attack,Action
impulsive-desire-blue,Impulsive Desire (Blue),NUU021,Common,Nuu Blitz Deck,3,Assassin Action - Attack,Attack,Action
in-the-palm-of-your-hand-red,In the Palm of Your Hand (Red),SUP171,Majestic,Super Slam,1,Guardian Instant - Aura,Aura,Instant
in-the-palm-of-your-hand-red,In the Palm of Your Hand (Red),LGS431,Promo,Promos,1,Guardian Instant - Aura,Aura,Instant
in-the-swing-red,In the Swing (Red),DDD007,Common,Dorinthea Demo Deck,1,Warrior Attack Reaction,,AttackReaction
in-the-swing-red,In the Swing (Red),MPW084,Common,Mastery Pack Warrior,1,Warrior Attack Reaction,,AttackReaction
in-the-swing-red,In the Swing (Red),DVR015,Common,Classic Battles Rhinar Dorinthea,1,Warrior Attack Reaction,,AttackReaction
in-the-swing-red,In the Swing (Red),EVR063,Common,Everfest,1,Warrior Attack Reaction,,AttackReaction
in-the-swing-red,In the Swing (Red),FAB057,Promo,Promos,1,Warrior Attack Reaction,,AttackReaction
in-the-swing-yellow,In the Swing (Yellow),EVR064,Common,Everfest,2,Warrior Attack Reaction,,AttackReaction
in-the-swing-blue,In the Swing (Blue),EVR065,Common,Everfest,3,Warrior Attack Reaction,,AttackReaction
incision-red,Incision (Red),HNT205,Common,The Hunted,1,Assassin / Warrior Attack Reaction,,AttackReaction
incision-red,Incision (Red),FNG014,Common,Fang Blitz Deck,1,Assassin / Warrior Attack Reaction,,AttackReaction
incision-red,Incision (Red),ARK015,Common,Arakni Blitz Deck ARK,1,Assassin / Warrior Attack Reaction,,AttackReaction
incision-red,Incision (Red),GEM029,Promo,GEM,1,Assassin / Warrior Attack Reaction,,AttackReaction
incision-yellow,Incision (Yellow),HNT206,Common,The Hunted,2,Assassin / Warrior Attack Reaction,,AttackReaction
incision-blue,Incision (Blue),HNT207,Common,The Hunted,3,Assassin / Warrior Attack Reaction,,AttackReaction
incision-blue,Incision (Blue),ARK023,Common,Arakni Blitz Deck ARK,3,Assassin / Warrior Attack Reaction,,AttackReaction
increase-the-tension-red,Increase the Tension (Red),RIP022,Common,Riptide Blitz Deck,1,Ranger Action,NonAttack,Action
increase-the-tension-red,Increase the Tension (Red),CRU135,Common,Crucible Of War,1,Ranger Action,NonAttack,Action
increase-the-tension-yellow,Increase the Tension (Yellow),CRU136,Common,Crucible Of War,2,Ranger Action,NonAttack,Action
increase-the-tension-blue,Increase the Tension (Blue),CRU137,Common,Crucible Of War,3,Ranger Action,NonAttack,Action
indefensibly-honed-blue,Indefensibly Honed (Blue),AHA023,Majestic,Armory Deck Origins Hala,3,Warrior Action,NonAttack,Action
index-red,Index (Red),ARC135,Common,Arcane Rising,1,Wizard Action,NonAttack,Action
index-yellow,Index (Yellow),ARC136,Common,Arcane Rising,2,Wizard Action,NonAttack,Action
index-blue,Index (Blue),ARC137,Common,Arcane Rising,3,Wizard Action,NonAttack,Action
induce-panic-yellow,Induce Panic (Yellow),OMN246,Majestic,Omens Of The Third Age,2,Chaos Block,,Block
induction-chamber-red,Induction Chamber (Red),1HP189,Majestic,History Pack 1,1,Mechanologist Action - Item,Item; NonAttack,Action
induction-chamber-red,Induction Chamber (Red),ARC010,Super Rare,Arcane Rising,1,Mechanologist Action - Item,Item; NonAttack,Action
inertia,Inertia,SAZ036,Basic,Azalea Silver Age Deck,,Generic Token - Aura,Aura,Token
inertia,Inertia,AAZ032,Token,Armory Deck Azalea,,Generic Token - Aura,Aura,Token
inertia,Inertia,OUT236,Token,Outsiders,,Generic Token - Aura,Aura,Token
inertia,Inertia,UZU030,Common,Uzuri Blitz Deck,,Generic Token - Aura,Aura,Token
inertia,Inertia,RIP030,Common,Riptide Blitz Deck,,Generic Token - Aura,Aura,Token
inertia,Inertia,AZL030,Common,Azalea Blitz Deck,,Generic Token - Aura,Aura,Token
inertia,Inertia,ARA029,Common,Arakni Blitz Deck,,Generic Token - Aura,Aura,Token
inertia,Inertia,LGS127,Promo,Promos,,Generic Token - Aura,Aura,Token
inertia,Inertia,FAB135,Promo,Promos,,Generic Token - Aura,Aura,Token
inertia-trap-red,Inertia Trap (Red),SAR025,Common,Arakni Silver Age Deck,1,Assassin / Ranger Defense Reaction - Trap,Trap,DefenseReaction
inertia-trap-red,Inertia Trap (Red),OUT173,Common,Outsiders,1,Assassin / Ranger Defense Reaction - Trap,Trap,DefenseReaction
inertia-trap-red,Inertia Trap (Red),RIP010,Common,Riptide Blitz Deck,1,Assassin / Ranger Defense Reaction - Trap,Trap,DefenseReaction
infect-red,Infect (Red),SAR013,Common,Arakni Silver Age Deck,1,Assassin Action - Attack,Attack,Action
infect-red,Infect (Red),AAC010,Common,Armory Deck Arakni,1,Assassin Action - Attack,Attack,Action
infect-red,Infect (Red),OUT024,Common,Outsiders,1,Assassin Action - Attack,Attack,Action
infect-red,Infect (Red),UZU013,Common,Uzuri Blitz Deck,1,Assassin Action - Attack,Attack,Action
infect-red,Infect (Red),ARA008,Common,Arakni Blitz Deck,1,Assassin Action - Attack,Attack,Action
infect-yellow,Infect (Yellow),OUT025,Common,Outsiders,2,Assassin Action - Attack,Attack,Action
infect-yellow,Infect (Yellow),UZU017,Common,Uzuri Blitz Deck,2,Assassin Action - Attack,Attack,Action
infect-yellow,Infect (Yellow),ARA020,Common,Arakni Blitz Deck,2,Assassin Action - Attack,Attack,Action
infect-blue,Infect (Blue),OUT026,Common,Outsiders,3,Assassin Action - Attack,Attack,Action
infect-blue,Infect (Blue),UZU021,Common,Uzuri Blitz Deck,3,Assassin Action - Attack,Attack,Action
infect-blue,Infect (Blue),ARA022,Common,Arakni Blitz Deck,3,Assassin Action - Attack,Attack,Action
infecting-shot-red,Infecting Shot (Red),SAZ014,Common,Azalea Silver Age Deck,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-red,Infecting Shot (Red),AAZ011,Common,Armory Deck Azalea,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-red,Infecting Shot (Red),OUT118,Common,Outsiders,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-red,Infecting Shot (Red),AZL009,Common,Azalea Blitz Deck,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-red,Infecting Shot (Red),TNP004,Promo,Tournament Pack,1,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-yellow,Infecting Shot (Yellow),SAZ030,Common,Azalea Silver Age Deck,2,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-yellow,Infecting Shot (Yellow),OUT119,Common,Outsiders,2,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-yellow,Infecting Shot (Yellow),RIP025,Common,Riptide Blitz Deck,2,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-yellow,Infecting Shot (Yellow),TNP005,Promo,Tournament Pack,2,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-blue,Infecting Shot (Blue),AAZ027,Common,Armory Deck Azalea,3,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-blue,Infecting Shot (Blue),OUT120,Common,Outsiders,3,Ranger Action - Arrow Attack,Arrow; Attack,Action
infecting-shot-blue,Infecting Shot (Blue),TNP006,Promo,Tournament Pack,3,Ranger Action - Arrow Attack,Arrow; Attack,Action
infectious-host-red,Infectious Host (Red),OUT192,Rare,Outsiders,1,Generic Action - Attack,Attack,Action
infectious-host-yellow,Infectious Host (Yellow),OUT193,Rare,Outsiders,2,Generic Action - Attack,Attack,Action
infectious-host-blue,Infectious Host (Blue),OUT194,Rare,Outsiders,3,Generic Action - Attack,Attack,Action
infiltrate-red,Infiltrate (Red),AAC011,Majestic,Armory Deck Arakni,1,Assassin Action - Attack,Attack,Action
infiltrate-red,Infiltrate (Red),OUT012,Majestic,Outsiders,1,Assassin Action - Attack,Attack,Action
inflame-red,Inflame (Red),UPR097,Common,Uprising,1,Draconic Action - Attack,Attack,Action
inflame-red,Inflame (Red),FAI011,Common,Fai Blitz Deck,1,Draconic Action - Attack,Attack,Action
infuse-alloy-red,Infuse Alloy (Red),EVO120,Common,Bright Lights,1,Mechanologist Action - Attack,Attack,Action
infuse-alloy-yellow,Infuse Alloy (Yellow),EVO121,Common,Bright Lights,2,Mechanologist Action - Attack,Attack,Action
infuse-alloy-blue,Infuse Alloy (Blue),EVO122,Common,Bright Lights,3,Mechanologist Action - Attack,Attack,Action
infuse-titanium-red,Infuse Titanium (Red),EVO123,Common,Bright Lights,1,Mechanologist Action - Attack,Attack,Action
infuse-titanium-yellow,Infuse Titanium (Yellow),EVO124,Common,Bright Lights,2,Mechanologist Action - Attack,Attack,Action
infuse-titanium-blue,Infuse Titanium (Blue),EVO125,Common,Bright Lights,3,Mechanologist Action - Attack,Attack,Action
ink-lined-cloak,Ink-lined Cloak,ROS164,Common,Rosetta,,Wizard Equipment - Chest,Chest,Equipment
ink-lined-cloak,Ink-lined Cloak,OSC004,Common,Oscilio Blitz Deck,,Wizard Equipment - Chest,Chest,Equipment
ink-lined-cloak,Ink-lined Cloak,LGS318,Promo,Promos,,Wizard Equipment - Chest,Chest,Equipment
inner-chi-blue,Inner Chi (Blue),SEN031,Common,Enigma Silver Age Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),SEN032,Common,Enigma Silver Age Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),SEN033,Common,Enigma Silver Age Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),SEN034,Common,Enigma Silver Age Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),SEN035,Common,Enigma Silver Age Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST010,Majestic,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST032,Majestic,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST053,Majestic,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST095,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST096,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST097,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST098,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST099,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST100,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST101,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST102,Common,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST000,Fabled,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST010,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST032,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST053,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST095,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST096,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST097,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST098,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST099,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST100,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST101,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),MST102,Marvel,Part The Mistveil,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ZEN025,Common,Zen Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ZEN026,Common,Zen Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ZEN027,Common,Zen Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ZEN028,Common,Zen Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),NUU026,Common,Nuu Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),NUU027,Common,Nuu Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ENG025,Common,Enigma Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ENG026,Common,Enigma Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ENG027,Common,Enigma Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),ENG028,Common,Enigma Blitz Deck,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),FAB232,Promo,Promos,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),FAB233,Promo,Promos,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),FAB234,Promo,Promos,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),LGS282,Promo,Promos,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),LGS283,Promo,Promos,3,Mystic Resource - Chi,Chi,Resource
inner-chi-blue,Inner Chi (Blue),LGS284,Promo,Promos,3,Mystic Resource - Chi,Chi,Resource
